trial_id,best_train_loss,best_val_loss,learning_rate,batch_size,l_coord,l_theta,l_noobj,epochs,train_fraction,val_fraction
10,0.25984572181094445,0.25478490742401305,0.0003,16,5.0,3.0,0.5,12,0.25,0.35
2,0.27570097405142546,0.2733603387446927,0.0003,16,5.0,5.0,0.1,12,0.25,0.35
11,0.2838376853126711,0.2992058039023613,0.0003,16,3.0,5.0,0.1,12,0.25,0.35
9,0.32407545281532113,0.3496065088547767,0.0003,32,5.0,5.0,0.1,12,0.25,0.35
6,0.3244758207995192,0.3813614395136635,0.0001,32,5.0,3.0,0.5,12,0.25,0.35
12,0.7239671647548676,0.7443427356580893,0.0003,64,5.0,3.0,0.1,12,0.25,0.35
8,0.7471419500582146,0.8245494067668917,3e-05,64,5.0,5.0,0.5,12,0.25,0.35
4,1.1172896181092113,1.1134253603716697,0.0003,64,3.0,5.0,0.5,12,0.25,0.35
1,1.2284656130906308,1.323473299543063,3e-05,128,3.0,5.0,0.1,12,0.25,0.35
3,95.60950689604788,78.32478626569115,0.0003,64,5.0,3.0,0.1,12,0.25,0.35
7,1080.6253712971995,603.4121056202196,0.001,16,3.0,3.0,0.5,12,0.25,0.35
5,5235907.954545454,4301926.953125,0.001,64,5.0,5.0,0.5,12,0.25,0.35
