trial_id,best_train_loss,best_val_loss,learning_rate,batch_size,l_coord,l_theta,l_noobj,epochs,train_fraction,val_fraction
17,0.7565268991571485,0.9932734621422631,0.0001,64,2.0,2.0,0.1,12,0.25,0.25
19,0.7955703500545388,1.042920928980623,0.0001,64,2.0,5.0,0.1,12,0.25,0.25
33,1.147188357331536,1.1796754660350934,1e-05,64,2.0,2.0,0.1,12,0.25,0.25
21,1.0200502529288782,1.2050350823572704,0.0001,64,5.0,2.0,0.1,12,0.25,0.25
23,1.0538424298618774,1.2299196109175679,0.0001,64,5.0,5.0,0.1,12,0.25,0.25
35,1.242325295101513,1.2749160568628988,1e-05,64,2.0,5.0,0.1,12,0.25,0.25
18,1.0759385977730604,1.3371718029890738,0.0001,64,2.0,2.0,0.5,12,0.25,0.25
20,1.0818207914179019,1.355684067096029,0.0001,64,2.0,5.0,0.5,12,0.25,0.25
37,1.403716011480851,1.4155835971236226,1e-05,64,5.0,2.0,0.1,12,0.25,0.25
22,1.2924426703742051,1.5074659092085698,0.0001,64,5.0,2.0,0.5,12,0.25,0.25
24,1.3297965634952895,1.5155399358698296,0.0001,64,5.0,5.0,0.5,12,0.25,0.25
34,1.49239658948147,1.5207390261547904,1e-05,64,2.0,2.0,0.5,12,0.25,0.25
39,1.5265382347684915,1.573314504112516,1e-05,64,5.0,5.0,0.1,12,0.25,0.25
36,1.5522064060875869,1.59876457793372,1e-05,64,2.0,5.0,0.5,12,0.25,0.25
38,1.8000652501077359,1.772277638529028,1e-05,64,5.0,2.0,0.5,12,0.25,0.25
40,1.814954241116842,1.8141137046473366,1e-05,64,5.0,5.0,0.5,12,0.25,0.25
25,1.801003922115673,2.056688589975238,0.0001,128,2.0,2.0,0.1,12,0.25,0.25
27,1.8795251087708906,2.1102804934812918,0.0001,128,2.0,5.0,0.1,12,0.25,0.25
29,2.3535674774285518,2.4680136053098574,0.0001,128,5.0,2.0,0.1,12,0.25,0.25
31,2.3427177848237934,2.4850297123193745,0.0001,128,5.0,5.0,0.1,12,0.25,0.25
41,2.6697763529690826,2.568318379835951,1e-05,128,2.0,2.0,0.1,12,0.25,0.25
26,2.461635033289591,2.678673936261071,0.0001,128,2.0,2.0,0.5,12,0.25,0.25
28,2.500854737830885,2.725208681076765,0.0001,128,2.0,5.0,0.5,12,0.25,0.25
43,2.888465469533747,2.7614509024553824,1e-05,128,2.0,5.0,0.1,12,0.25,0.25
32,2.9304601495916187,3.0685361458195577,0.0001,128,5.0,5.0,0.5,12,0.25,0.25
30,2.982871611913046,3.085385779539744,0.0001,128,5.0,2.0,0.5,12,0.25,0.25
45,3.2937686298832745,3.123867489397526,1e-05,128,5.0,2.0,0.1,12,0.25,0.25
42,3.343112078579989,3.2282495295835867,1e-05,128,2.0,2.0,0.5,12,0.25,0.25
47,3.6123336156209307,3.4400280084874897,1e-05,128,5.0,5.0,0.1,12,0.25,0.25
44,3.5636595090230303,3.445195202612215,1e-05,128,2.0,5.0,0.5,12,0.25,0.25
46,4.043530428048336,3.8551914774709277,1e-05,128,5.0,2.0,0.5,12,0.25,0.25
48,4.102732246572321,3.929117752446068,1e-05,128,5.0,5.0,0.5,12,0.25,0.25
8,39.738751006848894,32.283617748532976,0.001,64,5.0,5.0,0.5,12,0.25,0.25
11,67.94678023367216,52.53183868196275,0.001,128,2.0,5.0,0.1,12,0.25,0.25
3,130.22338878747192,124.45966584341866,0.001,64,2.0,5.0,0.1,12,0.25,0.25
10,442.045536850438,352.29730584886335,0.001,128,2.0,2.0,0.5,12,0.25,0.25
7,129.12054639874086,811.1038626262119,0.001,64,5.0,5.0,0.1,12,0.25,0.25
2,3394.5747255267524,2349.1936885288787,0.001,64,2.0,2.0,0.5,12,0.25,0.25
9,17073.396218039772,13199.93589528402,0.001,128,2.0,2.0,0.1,12,0.25,0.25
13,18854.200461647724,17568.23227945963,0.001,128,5.0,2.0,0.1,12,0.25,0.25
6,98291.29326467804,72011.65589425225,0.001,64,5.0,2.0,0.5,12,0.25,0.25
5,229584.24857954553,170584.33058035717,0.001,64,5.0,2.0,0.1,12,0.25,0.25
4,230683.45454545453,186896.0451450893,0.001,64,2.0,5.0,0.5,12,0.25,0.25
15,991998.9981060604,670925.386935764,0.001,128,5.0,5.0,0.1,12,0.25,0.25
12,968883.6666666667,736609.4327256944,0.001,128,2.0,5.0,0.5,12,0.25,0.25
1,1560888.1893939392,1115581.5479910714,0.001,64,2.0,2.0,0.1,12,0.25,0.25
16,3209968.502004045,14046550.489583338,0.001,128,5.0,5.0,0.5,12,0.25,0.25
14,32580835.99999999,22879939.826388888,0.001,128,5.0,2.0,0.5,12,0.25,0.25
